Player Number	Player	Player	Position	Born	Intn'l	Played	Goals	YC Y	RC R	Status
1	1. Wojciech Szczesny	1. Wojciech Szczesny	Goalkeeper	Poland		82	0	5	0	HG
3	3. Bacary Sagna	3. Bacary Sagna	Defender	France		182	3	17	1	
4	4. Per Mertesacker	4. Per Mertesacker	Defender	Germany		58	3	5	1	
5	5. Thomas Vermaelen	5. Thomas Vermaelen	Defender	Belgium		97	13	13	1	
6	6. Laurent Koscielny	6. Laurent Koscielny	Defender	France		91	6	17	4	
7	7. Tomas Rosicky	7. Tomas Rosicky	Midfielder	Czech Republic		131	15	16	0	
8	8. Mikel Arteta	8. Mikel Arteta	Midfielder	Spain		63	12	10	0	
9	9. Lukas Podolski	9. Lukas Podolski	Forward	Poland		35	13	1	0	
11	11. Mesut Özil	11. Mesut Özil	Midfielder	Germany		1	0	0	0	
12.	12. Olivier Giroud	12. Olivier Giroud	Forward	France		38	15	3	1	
13	13. Emiliano Viviano	13. Emiliano Viviano	Goalkeeper	Italy		0	0	0	0	
14	14. Theo Walcott	14. Theo Walcott	Midfielder	England		185	40	4	0	HG
16	16. Aaron Ramsey	16. Aaron Ramsey	Midfielder	Wales		108	9	11	0	HG
17	17. Nacho Monreal	17. Nacho Monreal	Defender	Spain		13	1	2	0	
19	19. Santiago Cazorla	19. Santiago Cazorla	Midfielder	Spain		41	12	2	0	
20	20. Mathieu Flamini	20. Mathieu Flamini	Midfielder	France		104	7	13	0	
21	21. Lukasz Fabianski	21. Lukasz Fabianski	Goalkeeper	Poland		31	0	1	0	
2	22. Yaya Sanogo	22. Yaya Sanogo	Forward	France		1	0	0	0	
24	24. Vassiriki Abou Diaby	24. Vassiriki Abou Diaby	Midfielder	France		123	14	12	2	
2	28. Kieran Gibbs	28. Kieran Gibbs	Defender	England		65	1	6	0	HG
30	30. Park Chu-Young	30. Park Chu-Young	Forward	South Korea		1	0	0	0	
4	45. Isaac Hayden	45. Isaac Hayden	Defender	England		0	0	0	0	
52	52. Nicklas Bendtner	52. Nicklas Bendtner	Forward	Denmark		99	22	7	1	
58	58. Gedion Zelalem	58. Gedion Zelalem	Midfielder	Germany		0	0	0	0	
20	20. Johan Djourou	- Johan Djourou	Defender	Switzerland		86	1	9	1	
